"","Number","Shannon","Simpson","Pielou"
"Boar-s10",386,2.4398940662232,0.768367303031051,0.409664320038752
"Boar-s11",474,2.53973211931064,0.812502703981859,0.412213383952791
"Boar-s13",419,1.3090911636523,0.60364373476363,0.216813373623625
"Boar-s14",467,2.48881337234069,0.784492269222561,0.404926789308488
"Boar-s18",366,3.50549242125213,0.917675125941106,0.593886189984989
"Boar-s19",381,3.28475710899555,0.874697243226955,0.552728924813404
"Boar-s2",469,2.81644933689031,0.810603717694842,0.457914361067051
"Boar-s22",338,2.68932978025186,0.845098634672406,0.461842449556853
"Boar-s23",386,2.5279372358287,0.750354174998011,0.424446988561048
"Boar-s35",387,3.37673326888795,0.903442377118845,0.566715775201133
"Boar-s4",419,1.4714872361443,0.582498639508593,0.243709621431138
"Boar-s5",535,2.67045298211244,0.81541065210107,0.425077935990521
"Boar-s7",393,2.58577688191199,0.754021605076842,0.432852241687508
"Boar-s8",488,2.21054223662331,0.650759761207637,0.357096866911364
"C4936",689,2.61617733832131,0.768850140722786,0.400318401391709
"C4950",599,2.07145581348711,0.714736670828452,0.323904781955679
"C4974",760,2.30989946856968,0.763299353969402,0.348226832738884
"C4975",591,1.57077739128551,0.54626801555434,0.246133292937511
"C4978",768,3.1806373904175,0.910293428108,0.478738418608951
"C4979",666,2.38954061077361,0.784655829290734,0.367548706774512
"C4982",609,1.74233599713386,0.620216979903307,0.271738206603314
"C5039",670,2.30036314713702,0.755875262821088,0.353506220083222
"C5042",743,0.785790643502314,0.271543754500128,0.118866551749902
"C5071",646,2.68125269181136,0.791291944791654,0.414361886849376
"Duroc-High1",486,2.98410147320621,0.890904099235111,0.482379702113035
"Duroc-High2",499,2.85723974527199,0.867629799743552,0.459910012196959
"Duroc-High3",487,2.9597507359611,0.893251821002052,0.478284487716201
"Duroc-High4",508,3.04622369579162,0.869310373994699,0.48892268140459
"Duroc-High5",505,3.28735420801703,0.906415799254909,0.528126492082705
"Duroc-High6",487,2.83382555822636,0.879487318480979,0.457935456836114
"Duroc-High7",541,3.25139763472816,0.909706618757818,0.516634517845776
"Duroc-High8",496,3.15421905921469,0.89962166012624,0.508205989333494
"Duroc-Low1",474,2.18758753785435,0.709009025035345,0.35505825784361
"Duroc-Low2",528,3.1241017270472,0.905280570291101,0.498333664960118
"Duroc-Low3",514,2.33991714730019,0.737596438703751,0.374853164937152
"Duroc-Low4",476,2.99097618200171,0.890434546946846,0.485121406645448
"Duroc-Low5",512,2.08754880716928,0.653084588446251,0.334632923524088
"Duroc-Low6",472,2.60295811981942,0.846618872847541,0.42276547084428
"Duroc-Low7",534,2.84437219773385,0.87495397147336,0.452896962336178
"Duroc-Low8",454,2.72304029024844,0.847482147881794,0.445079605979485
"F4286",553,1.71045283334628,0.565102010243848,0.270840201447641
"F4331",610,3.51929989286888,0.942031217994526,0.548736635935885
"F4364",602,2.69321206627901,0.821809223669022,0.420797458429278
"F4372",602,2.55423691935991,0.824064173674258,0.399083465186557
"F4375",497,3.13996306882337,0.899546164372283,0.505744952658355
"F4390",538,2.79828979104666,0.867027981109351,0.445030651416985
"F4395",514,2.19805512360785,0.71344552786665,0.352126963444582
"F4399",533,2.19412454747482,0.745316421997703,0.34946516850762
"F4404",442,1.71946301471033,0.64984282393682,0.282281323393095
"F4410",542,2.2145140028317,0.680033751057943,0.351774492503617
"F4411",511,2.92235049514354,0.878346471243619,0.468598028528338
"F4436",570,1.94928915877024,0.719256163942952,0.307185764819921
"F4453",518,1.92808617529848,0.664142167413267,0.308495010070063
"F4460",574,2.40334025078929,0.775091845548461,0.378322124722351
"F4552",514,1.70406268479004,0.612727072289542,0.272989704520891
"F4554",545,1.23719368992423,0.387305418386565,0.196355459500327
"F4556",573,1.97683704990503,0.596030445467345,0.31126950445703
"F4560",518,2.31361585724107,0.659119005951028,0.370180003529847
"F4563",516,2.31995451653315,0.740596136829695,0.371424089218924
"F4580",525,2.58022438820228,0.794308750934641,0.411952789847768
"F4582",589,2.91952092835178,0.863400723382823,0.457718070930215
"F4592",515,2.56055559605084,0.831805864674519,0.410071613521199
"F4595",524,3.67239837313247,0.94330730425376,0.586505350207246
"F4596",529,3.30205616895687,0.904637871274127,0.526560717634487
"F4650",523,2.02345739531426,0.76529241476799,0.323257618249807
"F4653",562,2.33759848269954,0.749195787700852,0.369201263478869
"F4655",540,2.40646933420354,0.784391112587617,0.382491121185148
"F4656",518,2.78097119883953,0.844137663783317,0.444957154395729
