SampleID	Group	PIGC90	PGC90
ERR2241630	European	0.928145995	0.758401854
ERR2241642	European	0.927936143	0.763864092
ERR2241648	European	0.92334343	0.763792733
ERR2241652	European	0.917470978	0.763391149
ERR2241667	European	0.942414914	0.744108998
ERR2241684	European	0.922857809	0.716084554
ERR2241835	European	0.893820123	0.692600302
ERR2241843	European	0.929952407	0.747968258
ERR2241881	European	0.935530376	0.788341603
ERR2241882	European	0.919399212	0.756358767
ERR2241884	European	0.937840487	0.796569165
ERR2241918	European	0.896964764	0.696632906
ERR2241930	European	0.931487859	0.74967247
ERR2241946	European	0.942609282	0.792788554
ERR2245444	European	0.92814753	0.755735475
ERR2245471	European	0.919056594	0.735163101
ERR2245472	European	0.896030025	0.695641062
ERR2245473	European	0.932404911	0.728103566
ERR2245483	European	0.911364103	0.7339222
ERR2245488	European	0.928589101	0.743230966
SRR5666653	Colon	0.97813381	0.86526302
SRR5666654	Colon	0.957230773	0.813400372
SRR5666655	Colon	0.971084727	0.841273834
SRR5666656	Colon	0.978262346	0.887232204
SRR5666657	Colon	0.940318106	0.814808187
SRR5666658	Colon	0.941009081	0.754506138
SRR5666659	Colon	0.953679444	0.834009629
SRR5666660	Colon	0.945198668	0.775677923
SRR5976180	Cecum	0.946174515	0.774526411
SRR5976181	Cecum	0.944295371	0.760016588
SRR5976182	Cecum	0.948270192	0.789901142
SRR5976183	Cecum	0.967786473	0.832264167
SRR5976184	Cecum	0.953019143	0.763705975
SRR5976185	Cecum	0.940212279	0.748272129
SRR5976186	Cecum	0.942281017	0.747543071
SRR5976187	Cecum	0.961326215	0.832002453
SRR8960121	Weaner	0.936064576	0.671156002
SRR8960128	Weaner	0.913343019	0.667413847
SRR8960132	Sow	0.947119405	0.714184876
SRR8960135	Sow	0.931827015	0.546460713
SRR8960136	Sow	0.931093615	0.628672956
SRR8960137	Sow	0.948303396	0.71619044
SRR8960157	Weaner	0.913259743	0.67325732
SRR8960181	Sow	0.947456522	0.701229561
SRR8960194	Weaner	0.950144924	0.720247017
SRR8960222	Sow	0.942007135	0.645847131
SRR8960237	Sow	0.937710145	0.62940607
SRR8960348	Sow	0.951467047	0.726586467
SRR8960349	Sow	0.945080764	0.702512805
SRR8960350	Sow	0.930846064	0.637288685
SRR8960353	Sow	0.949807233	0.721949522
SRR8960376	Weaner	0.93841882	0.719371245
SRR8960381	Weaner	0.933164468	0.69377449
SRR8960388	Weaner	0.929116416	0.697357621
SRR8960390	Sow	0.945779242	0.719012739
SRR8960418	Weaner	0.915021038	0.6645094
SRR8960419	Sow	0.929439685	0.630585088
SRR8960426	Weaner	0.900517504	0.639219311
SRR8960428	Weaner	0.92862294	0.675433729
SRR8960441	Weaner	0.925807132	0.692349397
SRR8960451	Weaner	0.919756774	0.632380232
SRR8960453	Sow	0.952494964	0.7200983
SRR8960467	Sow	0.920729099	0.613221726
SRR8960519	Weaner	0.934901522	0.659054796
SRR8960569	Weaner	0.935053326	0.662390297
SRR8960598	Weaner	0.933987849	0.6781686
SRR8960605	Weaner	0.913096147	0.665372457
SRR8960607	Sow	0.938961742	0.669544194
SRR8960649	Weaner	0.904413294	0.647270234
SRR8960653	Sow	0.949431692	0.723164548
SRR8960694	Sow	0.949995475	0.703679516
SRR8960749	Weaner	0.918556945	0.663596083
SRR8960821	Sow	0.92925025	0.618630299
SRR8960918	Weaner	0.937588946	0.696110919
SRR8960931	Weaner	0.924623431	0.705747137
SRR8960948	Sow	0.870304893	0.564350538
