ID	Breed 	Sex	Age 	Farm	SampleType
Boar-s10	Wild Boar	male	NA	Nanchang	cecum
Boar-s11	Wild Boar	male	NA	Nanchang	feces
Boar-s13	Wild Boar	male	NA	Nanchang	cecum
Boar-s14	Wild Boar	male	NA	Nanchang	feces
Boar-s18	Wild Boar	NA	NA	Nanchang	cecum
Boar-s19	Wild Boar	NA	NA	Nanchang	feces
Boar-s22	Wild Boar	NA	NA	Nanchang	feces
Boar-s23	Wild Boar	NA	NA	Nanchang	cecum
Boar-s2	Wild Boar	male	NA	Nanchang	cecum
Boar-s35	Wild Boar	NA	NA	Nanchang	cecum
Boar-s4	Wild Boar	female	NA	Nanchang	cecum
Boar-s5	Wild Boar	female	NA	Nanchang	feces
Boar-s7	Wild Boar	female	NA	Nanchang	cecum
Boar-s8	Wild Boar	female	NA	Nanchang	feces
C4936	F6	female	240	Nanchang	cecum
C4950	F6	female	240	Nanchang	cecum
C4974	F6	female	240	Nanchang	cecum
C4975	F6	male	240	Nanchang	cecum
C4978	F6	female	240	Nanchang	cecum
C4979	F6	male	240	Nanchang	cecum
C4982	F6	female	240	Nanchang	cecum
C5039	F6	male	240	Nanchang	cecum
C5042	F6	female	240	Nanchang	cecum
C5071	F6	male	240	Nanchang	cecum
Duroc-High1	Duroc	male	161	Jiangyin	feces
Duroc-High2	Duroc	female	165	Jiangyin	feces
Duroc-High3	Duroc	female	160	Jiangyin	feces
Duroc-High4	Duroc	male	163	Jiangyin	feces
Duroc-High5	Duroc	male	167	Jiangyin	feces
Duroc-High6	Duroc	female	167	Jiangyin	feces
Duroc-High7	Duroc	male	160	Jiangyin	feces
Duroc-High8	Duroc	female	163	Jiangyin	feces
Duroc-Low1	Duroc	female	163	Jiangyin	feces
Duroc-Low2	Duroc	female	165	Jiangyin	feces
Duroc-Low3	Duroc	male	161	Jiangyin	feces
Duroc-Low4	Duroc	male	162	Jiangyin	feces
Duroc-Low5	Duroc	female	161	Jiangyin	feces
Duroc-Low6	Duroc	male	162	Jiangyin	feces
Duroc-Low7	Duroc	female	162	Jiangyin	feces
Duroc-Low8	Duroc	female	160	Jiangyin	feces
FCR.HF1	Duroc	female	154	Shahu	feces
FCR.HF2	Duroc	female	151	Shahu	feces
FCR.HF3	Duroc	female	155	Shahu	feces
FCR.HF4	Duroc	female	152	Shahu	feces
FCR.HF5	Duroc	female	154	Shahu	feces
FCR.HM1	Duroc	male	150	Shahu	feces
FCR.HM2	Duroc	male	151	Shahu	feces
FCR.HM3	Duroc	male	151	Shahu	feces
FCR.HM4	Duroc	male	160	Shahu	feces
FCR.HM5	Duroc	male	146	Shahu	feces
FCR.LF1	Duroc	female	160	Shahu	feces
FCR.LF2	Duroc	female	155	Shahu	feces
FCR.LF3	Duroc	female	154	Shahu	feces
FCR.LF4	Duroc	female	151	Shahu	feces
FCR.LF5	Duroc	female	145	Shahu	feces
FCR.LM1	Duroc	male	142	Shahu	feces
FCR.LM2	Duroc	male	145	Shahu	feces
FCR.LM3	Duroc	male	147	Shahu	feces
FCR.LM4	Duroc	male	146	Shahu	feces
FCR.LM5	Duroc	male	146	Shahu	feces
F4286	F6	female	240	Nanchang	feces
F4331	F6	male	240	Nanchang	feces
F4364	F6	female	240	Nanchang	feces
F4372	F6	female	240	Nanchang	feces
F4375	F6	male	240	Nanchang	feces
F4390	F6	female	240	Nanchang	feces
F4395	F6	male	240	Nanchang	feces
F4399	F6	male	240	Nanchang	feces
F4404	F6	female	240	Nanchang	feces
F4410	F6	female	240	Nanchang	feces
F4411	F6	male	240	Nanchang	feces
F4436	F6	female	240	Nanchang	feces
F4453	F6	male	240	Nanchang	feces
F4460	F6	female	240	Nanchang	feces
F4552	F6	female	240	Nanchang	feces
F4554	F6	female	240	Nanchang	feces
F4556	F6	female	240	Nanchang	feces
F4560	F6	female	240	Nanchang	feces
F4563	F6	male	240	Nanchang	feces
F4580	F6	female	240	Nanchang	feces
F4582	F6	female	240	Nanchang	feces
F4592	F6	female	240	Nanchang	feces
F4595	F6	male	240	Nanchang	feces
F4596	F6	female	240	Nanchang	feces
F4650	F6	female	240	Nanchang	feces
F4653	F6	male	240	Nanchang	feces
F4655	F6	male	240	Nanchang	feces
F4656	F6	female	240	Nanchang	feces
F4657	F6	male	240	Nanchang	feces
F4658	F6	female	240	Nanchang	feces
F4659	F6	male	240	Nanchang	feces
F4660	F6	female	240	Nanchang	feces
F4661	F6	male	240	Nanchang	feces
F4664	F6	female	240	Nanchang	feces
F4665	F6	male	240	Nanchang	feces
F4666	F6	female	240	Nanchang	feces
F4669	F6	male	240	Nanchang	feces
F4675	F6	male	240	Nanchang	feces
F4679	F6	male	240	Nanchang	feces
F4690	F6	female	240	Nanchang	feces
F4692	F6	female	240	Nanchang	feces
F4701	F6	male	240	Nanchang	feces
F4704	F6	female	240	Nanchang	feces
F4706	F6	female	240	Nanchang	feces
F4724	F6	female	240	Nanchang	feces
F4726	F6	female	240	Nanchang	feces
F4791	F6	male	240	Nanchang	feces
F4840	F6	female	240	Nanchang	feces
F4842	F6	female	240	Nanchang	feces
F4844	F6	female	240	Nanchang	feces
F4846	F6	female	240	Nanchang	feces
F4850	F6	female	240	Nanchang	feces
F4856	F6	female	240	Nanchang	feces
F4864	F6	female	240	Nanchang	feces
F4872	F6	female	240	Nanchang	feces
F4873	F6	male	240	Nanchang	feces
F4878	F6	female	240	Nanchang	feces
F4881	F6	male	240	Nanchang	feces
F4888	F6	female	240	Nanchang	feces
F4889	F6	male	240	Nanchang	feces
F4890	F6	female	240	Nanchang	feces
F4894	F6	female	240	Nanchang	feces
F4901	F6	male	240	Nanchang	feces
F4903	F6	male	240	Nanchang	feces
F4905	F6	male	240	Nanchang	feces
F4908	F6	female	240	Nanchang	feces
F4910	F6	female	240	Nanchang	feces
F4912	F6	female	240	Nanchang	feces
F4922	F6	female	240	Nanchang	feces
F4924	F6	female	240	Nanchang	feces
F4930	F6	female	240	Nanchang	feces
F4936	F6	female	240	Nanchang	feces
F4941	F6	male	240	Nanchang	feces
F4942	F6	female	240	Nanchang	feces
F4943	F6	male	240	Nanchang	feces
F4945	F6	male	240	Nanchang	feces
F4946	F6	female	240	Nanchang	feces
F4948	F6	female	240	Nanchang	feces
F4950	F6	female	240	Nanchang	feces
F4952	F6	female	240	Nanchang	feces
F4954	F6	female	240	Nanchang	feces
F4958	F6	female	240	Nanchang	feces
F4960	F6	female	240	Nanchang	feces
F4961	F6	male	240	Nanchang	feces
F4962	F6	female	240	Nanchang	feces
F4969	F6	male	240	Nanchang	feces
F4972	F6	female	240	Nanchang	feces
F4973	F6	male	240	Nanchang	feces
F4974	F6	female	240	Nanchang	feces
F4975	F6	male	240	Nanchang	feces
F4976	F6	female	240	Nanchang	feces
F4978	F6	female	240	Nanchang	feces
F4979	F6	male	240	Nanchang	feces
F4981	F6	male	240	Nanchang	feces
F4982	F6	female	240	Nanchang	feces
F4983	F6	male	240	Nanchang	feces
F4984	F6	female	240	Nanchang	feces
F4987	F6	male	240	Nanchang	feces
F4988	F6	female	240	Nanchang	feces
F4989	F6	male	240	Nanchang	feces
F4993	F6	male	240	Nanchang	feces
F4997	F6	male	240	Nanchang	feces
F5003	F6	male	240	Nanchang	feces
F5007	F6	male	240	Nanchang	feces
F5012	F6	female	240	Nanchang	feces
F5014	F6	female	240	Nanchang	feces
F5018	F6	female	240	Nanchang	feces
F5020	F6	female	240	Nanchang	feces
F5021	F6	male	240	Nanchang	feces
F5023	F6	male	240	Nanchang	feces
F5028	F6	female	240	Nanchang	feces
F5031	F6	male	240	Nanchang	feces
F5032	F6	female	240	Nanchang	feces
F5035	F6	male	240	Nanchang	feces
F5039	F6	male	240	Nanchang	feces
F5042	F6	female	240	Nanchang	feces
F5046	F6	female	240	Nanchang	feces
F5052	F6	female	240	Nanchang	feces
F5054	F6	female	240	Nanchang	feces
F5056	F6	female	240	Nanchang	feces
F5058	F6	female	240	Nanchang	feces
F5061	F6	male	240	Nanchang	feces
F5071	F6	male	240	Nanchang	feces
F5072	F6	female	240	Nanchang	feces
F5084	F6	female	240	Nanchang	feces
F5094	F6	female	240	Nanchang	feces
F5097	F6	male	240	Nanchang	feces
F5100	F6	female	240	Nanchang	feces
F5103	F6	male	240	Nanchang	feces
F5106	F6	female	240	Nanchang	feces
F5107	F6	male	240	Nanchang	feces
F5108	F6	female	240	Nanchang	feces
F5110	F6	female	240	Nanchang	feces
F5111	F6	male	240	Nanchang	feces
F5113	F6	male	240	Nanchang	feces
F5114	F6	female	240	Nanchang	feces
F5115	F6	male	240	Nanchang	feces
F5122	F6	female	240	Nanchang	feces
F5123	F6	male	240	Nanchang	feces
F5125	F6	male	240	Nanchang	feces
F5131	F6	male	240	Nanchang	feces
F5135	F6	male	240	Nanchang	feces
F5136	F6	female	240	Nanchang	feces
F5138	F6	female	240	Nanchang	feces
F5140	F6	female	240	Nanchang	feces
F5141	F6	male	240	Nanchang	feces
F5142	F6	female	240	Nanchang	feces
F5143	F6	male	240	Nanchang	feces
F5153	F6	male	240	Nanchang	feces
F5155	F6	male	240	Nanchang	feces
F5157	F6	male	240	Nanchang	feces
F5158	F6	female	240	Nanchang	feces
F5163	F6	male	240	Nanchang	feces
F5165	F6	male	240	Nanchang	feces
F5173	F6	male	240	Nanchang	feces
F5175	F6	male	240	Nanchang	feces
F5176	F6	female	240	Nanchang	feces
F5179	F6	male	240	Nanchang	feces
F5181	F6	male	240	Nanchang	feces
F5184	F6	female	240	Nanchang	feces
F5186	F6	female	240	Nanchang	feces
F5202	F6	female	240	Nanchang	feces
F5204	F6	female	240	Nanchang	feces
F5205	F6	male	240	Nanchang	feces
F5206	F6	female	240	Nanchang	feces
F5208	F6	female	240	Nanchang	feces
F5210	F6	female	240	Nanchang	feces
F5218	F6	female	240	Nanchang	feces
F5224	F6	female	240	Nanchang	feces
F5229	F6	male	240	Nanchang	feces
F5230	F6	female	240	Nanchang	feces
F5235	F6	male	240	Nanchang	feces
F5236	F6	female	240	Nanchang	feces
F5237	F6	male	240	Nanchang	feces
F5239	F6	male	240	Nanchang	feces
F5240	F6	female	240	Nanchang	feces
