ORF_ID	Best_Hit_ARO	ARO	Model_type	Drug Class	Resistance Mechanism	AMR Gene Family
BGI_PIG_111_GL0131122	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_118_GL0278219	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG_118_GL0278221	vanTG	3002972	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
BGI_PIG_121_GL0099009	vanUG	3004253	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanU
BGI_PIG_140_GL0103343	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_147_GL0006025	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_148_GL0105380	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG_151_GL0156308	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_163_GL0079822	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
BGI_PIG_181_GL0221543	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG_183_GL0303628	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_195_GL0068054	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
BGI_PIG_196_GL0157335	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG_210_GL0198205	ErmF	3000498	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_PIG-001_GL0107595	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-002_GL0078217	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG-002_GL0078693	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-002_GL0133791	ErmB	3000375	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_PIG-002_GL0139615	Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	3003785	protein homolog model	fosfomycin	antibiotic target alteration	antibiotic-resistant murA transferase
BGI_PIG-003_GL0089702	aad(6)	3002628	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
BGI_PIG-003_GL0200363	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG-004_GL0097506	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-005_GL0195678	vanRG	3002926	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
BGI_PIG-005_GL0195682	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG-005_GL0195683	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
BGI_PIG-007_GL0185658	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-009_GL0015375	dfrA14	3002859	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
BGI_PIG-011_GL0084859	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-012_GL0231982	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-014_GL0124109	ErmG	3000522	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
BGI_PIG-014_GL0133498	vatE	3002844	protein homolog model	streptogramin antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase
BGI_PIG-015_GL0219409	Campylobacter coli chloramphenicol acetyltransferase	3004454	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_PIG-016_GL0062758	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG-016_GL0083864	vanRG	3002926	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
BGI_PIG-017_GL0164369	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-023_GL0030530	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-023_GL0125274	tet(C)	3000167	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
BGI_PIG-023_GL0236046	catS	3002688	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
BGI_PIG-031_GL0083707	apmA	3003918	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	amp acetyltransferase
BGI_PIG-033_GL0159117	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
BGI_PIG-033_GL0203116	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
BGI_PIG-043_GL0012741	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
BGI_PIG-044_GL0047820	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-044_GL0181188	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
BGI_PIG-047_GL0154358	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
