MAG_ID	Completeness	Contamination	Contigs_num	tRNA_num	rRNA_num	Quality
BL-unmapped_bin_250	50	0	268	17	0	Medium-quality
Boar-s10_bin_46	50	0	326	14	2	Medium-quality
Boar-s7_bin_47	50	2.01	72	24	0	Medium-quality
C5042_bin_30	50	3.45	473	17	1	Medium-quality
Duroc-High2_bin_21	50	0	345	20	0	Medium-quality
Duroc-Low8_bin_51	50	0	420	7	0	Medium-quality
F4595_bin_53	50	1.72	289	7	0	Medium-quality
F4948_bin_73	50	0	289	14	0	Medium-quality
F5115_bin_61	50	1.72	380	26	0	Medium-quality
F5138_bin_33	50	1.75	560	7	0	Medium-quality
F5163_bin_51	50	0	353	15	0	Medium-quality
F5297_bin_48	50	4.55	164	13	0	Medium-quality
F5302_bin_70	50	0	22	4	0	Medium-quality
F5343_bin_50	50	0	322	6	0	Medium-quality
F5399_bin_72	50	3.45	340	28	1	Medium-quality
F5487_bin_54	50	3.64	242	30	1	Medium-quality
F5560_bin_62	50	0	369	17	0	Medium-quality
F5569_bin_67	50	2.59	396	22	1	Medium-quality
F5571_bin_47	50	1.72	466	18	0	Medium-quality
LW2-s126572_bin_57	50	0.65	59	26	1	Medium-quality
QHF6-unmapped_bin_467	50	1.72	264	19	2	Medium-quality
QHF6-unmapped_bin_501	50	0	66	16	0	Medium-quality
QHF6-unmapped_bin_745	50	1.75	233	8	0	Medium-quality
S142704B_bin_46	50	2.59	361	18	0	Medium-quality
S142704B_bin_47	50	0	192	16	0	Medium-quality
S77806B_bin_37	50	0	439	18	0	Medium-quality
Tibetan-s3800-48F_bin_28	50	1.75	231	10	0	Medium-quality
F5634_bin_31	50.03	2.59	517	8	0	Medium-quality
BL-unmapped_bin_354	50.08	4.64	356	16	0	Medium-quality
F5165_bin_45	50.08	1.72	287	11	0	Medium-quality
S142704A_bin_10	50.08	2.59	594	9	0	Medium-quality
S21104A_bin_45	50.08	1.75	363	13	0	Medium-quality
QHF6-unmapped_bin_305	50.09	2.04	131	7	0	Medium-quality
F5356_bin_37	50.11	2.76	669	21	0	Medium-quality
F5403_bin_21	50.12	0	600	14	0	Medium-quality
F5560_bin_55	50.12	2.01	346	8	0	Medium-quality
F5208_bin_11	50.16	1.75	303	3	0	Medium-quality
F5571_bin_53	50.16	1.72	225	15	1	Medium-quality
Tibetan-s1400-27M_bin_5	50.16	3.51	1008	16	0	Medium-quality
Tibetan-s3480-25M_bin_4	50.16	1.63	784	11	0	Medium-quality
F4580_bin_38	50.17	1.72	528	24	1	Medium-quality
F5012_bin_57	50.17	0.86	414	15	0	Medium-quality
S127912A_bin_53	50.17	0.82	400	16	1	Medium-quality
S58506A_bin_20	50.17	2.59	420	6	0	Medium-quality
S114106A_bin_2	50.18	4.92	881	26	1	Medium-quality
F5157_bin_47	50.19	4.76	344	10	0	Medium-quality
Duroc-Low4_bin_53	50.2	4.07	369	10	1	Medium-quality
F5453_bin_48	50.2	1.34	392	13	0	Medium-quality
F5204_bin_36	50.23	3.26	495	10	0	Medium-quality
BL-unmapped_bin_330	50.24	0.96	462	6	0	Medium-quality
F5497_bin_60	50.24	1.75	362	10	3	Medium-quality
F5288_bin_34	50.25	4.95	695	7	1	Medium-quality
F5218_bin_82	50.27	3.02	330	9	0	Medium-quality
F5606_bin_18	50.3	0.95	449	6	0	Medium-quality
Duroc.SH-FCR.HM1_bin_11	50.31	0	354	13	0	Medium-quality
F4286_bin_17	50.31	2.76	773	12	0	Medium-quality
F5042_bin_47	50.31	0	347	11	1	Medium-quality
F5336_bin_53	50.31	0.86	342	13	0	Medium-quality
QHF6-unmapped_bin_693	50.31	0	94	12	0	Medium-quality
QHF6-unmapped_bin_155	50.33	0	28	20	0	Medium-quality
F5175_bin_26	50.34	3.45	361	16	0	Medium-quality
F5476_bin_2	50.34	4.53	852	25	5	Medium-quality
